,name,identifier,url,image,sameAs,datePublished,dateModified,eventStatus,startDate,endDate,previousStartDate,doorTime,location$@type,location$name,location$identifier,location$url,location$image,location$datePublished,location$dateModified,location$address$@type,location$address$streetAddress,location$address$addressLocality,location$address$postalCode,location$address$addressRegion$@type,location$address$addressRegion$identifier,location$address$addressRegion$name,location$address$addressRegion$alternateName,location$address$addressCountry$@type,location$address$addressCountry$identifier,location$address$addressCountry$name,location$address$addressCountry$alternateName,location$address$x-streetAddress2,location$address$x-timezone,location$address$x-jamBaseMetroId,location$address$x-jamBaseCityId,location$geo$@type,location$geo$latitude,location$geo$longitude,location$sameAs,location$maximumAttendeeCapacity,location$x-isPermanentlyClosed,location$x-numUpcomingEvents,offers,performer,eventAttendanceMode,isAccessibleForFree,x-streamIds,x-headlinerInSupport,x-promoImage,
@type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Concert,Bad Bunny at Félix Sánchez Olympic Stadium,jambase:14247332,https://www.jambase.com/show/bad-bunny-estadio-ol%c3%admpico-f%c3%a9lix-s%c3%a1nchez-20251121,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:41:31Z,2025-08-11T13:00:18Z,scheduled,2025-11-21T20:00:00,11/21/25,,,Venue,Félix Sánchez Olympic Stadium,jambase:428278,https://www.jambase.com/venue/felix-sanchez-olympic-stadium,,2015-09-03T03:19:46Z,2025-09-27T15:17:10Z,PostalAddress,F3JJ+8CQ Centro Olimpico,Santo Domingo,10122,NA,NA,NA,NA,Country,DO,Dominican Republic,DOM,,America/Bogota,,1283240,GeoCoordinates,18.4808,-69.9189,<data.frame[0 x 0]>,60000,FALSE,2,<data.frame[1 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Concert,Bad Bunny at Félix Sánchez Olympic Stadium,jambase:14482033,https://www.jambase.com/show/bad-bunny-felix-sanchez-olympic-stadium-20251122,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-06-17T16:14:08Z,2025-08-11T13:00:40Z,scheduled,2025-11-22T19:00:00,11/22/25,,,Venue,Félix Sánchez Olympic Stadium,jambase:428278,https://www.jambase.com/venue/felix-sanchez-olympic-stadium,,2015-09-03T03:19:46Z,2025-09-27T15:17:10Z,PostalAddress,F3JJ+8CQ Centro Olimpico,Santo Domingo,10122,NA,NA,NA,NA,Country,DO,Dominican Republic,DOM,,America/Bogota,,1283240,GeoCoordinates,18.4808,-69.9189,<data.frame[0 x 0]>,60000,FALSE,2,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Concert,Bad Bunny at Estadio Nacional,jambase:14247335,https://www.jambase.com/show/bad-bunny-estadio-nacional-20251205,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-06T19:42:42Z,2025-06-26T23:02:21Z,scheduled,2025-12-05T19:00:00,12/5/25,,,Venue,Estadio Nacional,jambase:669848,https://www.jambase.com/venue/estadio-nacional-san-jose,,2015-10-06T09:36:50Z,2025-10-24T15:17:11Z,PostalAddress," C. 68, Nunciatura",San José,10101,NA,NA,NA,NA,Country,CR,Costa Rica,CRI,,America/Costa_Rica,,1165754,GeoCoordinates,9.9386,-84.1092,<data.frame[1 x 3]>,35062,FALSE,6,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Concert,Bad Bunny at Estadio Nacional,jambase:14305240,https://www.jambase.com/show/bad-bunny-estadio-nacional-20251206,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-18T16:50:58Z,2025-08-11T13:02:03Z,scheduled,2025-12-06T19:00:00,12/6/25,,,Venue,Estadio Nacional,jambase:669848,https://www.jambase.com/venue/estadio-nacional-san-jose,,2015-10-06T09:36:50Z,2025-10-24T15:17:11Z,PostalAddress," C. 68, Nunciatura",San José,10101,NA,NA,NA,NA,Country,CR,Costa Rica,CRI,,America/Costa_Rica,,1165754,GeoCoordinates,9.9386,-84.1092,<data.frame[1 x 3]>,35062,FALSE,6,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Concert,Bad Bunny at Estadio GNP Seguros,jambase:14236539,https://www.jambase.com/show/bad-bunny-estadio-gnp-seguros-20251210,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-05T19:21:24Z,2025-10-29T21:06:10Z,scheduled,2025-12-10T21:00:00,12/10/25,,,Venue,Estadio GNP Seguros,jambase:64430,https://www.jambase.com/venue/estadio-gnp-seguros,,2015-06-22T07:50:07Z,2025-11-04T19:21:12Z,PostalAddress,Avenida Viaducto Rio de la Piedad y Rio Churubusco S/N,Mexico City,8400,NA,NA,NA,NA,Country,MX,Mexico,MEX,,America/Mexico_City,,,GeoCoordinates,19.4051,-99.0957,<data.frame[1 x 3]>,65000,FALSE,30,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Concert,Bad Bunny at Estadio GNP Seguros,jambase:14236536,https://www.jambase.com/show/bad-bunny-estadio-gnp-seguros-20251211,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-05T19:21:23Z,2025-10-29T21:06:36Z,scheduled,2025-12-11T21:00:00,12/11/25,,,Venue,Estadio GNP Seguros,jambase:64430,https://www.jambase.com/venue/estadio-gnp-seguros,,2015-06-22T07:50:07Z,2025-11-04T19:21:12Z,PostalAddress,Avenida Viaducto Rio de la Piedad y Rio Churubusco S/N,Mexico City,8400,NA,NA,NA,NA,Country,MX,Mexico,MEX,,America/Mexico_City,,,GeoCoordinates,19.4051,-99.0957,<data.frame[1 x 3]>,65000,FALSE,30,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Concert,Bad Bunny at Estadio GNP Seguros,jambase:14275343,https://www.jambase.com/show/bad-bunny-estadio-gnp-seguros-20251212,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-13T13:48:18Z,2025-10-29T21:05:44Z,scheduled,2025-12-12T21:00:00,12/12/25,,,Venue,Estadio GNP Seguros,jambase:64430,https://www.jambase.com/venue/estadio-gnp-seguros,,2015-06-22T07:50:07Z,2025-11-04T19:21:12Z,PostalAddress,Avenida Viaducto Rio de la Piedad y Rio Churubusco S/N,Mexico City,8400,NA,NA,NA,NA,Country,MX,Mexico,MEX,,America/Mexico_City,,,GeoCoordinates,19.4051,-99.0957,<data.frame[1 x 3]>,65000,FALSE,30,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Concert,Bad Bunny at Estadio GNP Seguros,jambase:14275352,https://www.jambase.com/show/bad-bunny-estadio-gnp-seguros-20251215,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-13T13:48:20Z,2025-10-29T21:06:36Z,scheduled,2025-12-15T21:00:00,12/15/25,,,Venue,Estadio GNP Seguros,jambase:64430,https://www.jambase.com/venue/estadio-gnp-seguros,,2015-06-22T07:50:07Z,2025-11-04T19:21:12Z,PostalAddress,Avenida Viaducto Rio de la Piedad y Rio Churubusco S/N,Mexico City,8400,NA,NA,NA,NA,Country,MX,Mexico,MEX,,America/Mexico_City,,,GeoCoordinates,19.4051,-99.0957,<data.frame[1 x 3]>,65000,FALSE,30,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Concert,Bad Bunny at Estadio GNP Seguros,jambase:14275349,https://www.jambase.com/show/bad-bunny-estadio-gnp-seguros-20251216,https://www.jambase.com/wp-content/uploads/2018/01/bad-bunny-press-2024-1480x832.jpg,character(0),2025-05-13T13:48:19Z,2025-10-29T21:06:10Z,scheduled,2025-12-16T21:00:00,12/16/25,,,Venue,Estadio GNP Seguros,jambase:64430,https://www.jambase.com/venue/estadio-gnp-seguros,,2015-06-22T07:50:07Z,2025-11-04T19:21:12Z,PostalAddress,Avenida Viaducto Rio de la Piedad y Rio Churubusco S/N,Mexico City,8400,NA,NA,NA,NA,Country,MX,Mexico,MEX,,America/Mexico_City,,,GeoCoordinates,19.4051,-99.0957,<data.frame[1 x 3]>,65000,FALSE,30,<data.frame[3 x 11]>,<data.frame[1 x 14]>,live,FALSE,character(0),FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
