"event_name","start_date","venue","city","country","latitude","longitude"
"Bad Bunny at Estadio Nacional","2025-12-05T19:00:00","Estadio Nacional","San José","Costa Rica",9.9386,-84.1092
"Bad Bunny at Estadio Nacional","2025-12-06T19:00:00","Estadio Nacional","San José","Costa Rica",9.9386,-84.1092
"Bad Bunny at Estadio GNP Seguros","2025-12-10T21:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio GNP Seguros","2025-12-11T21:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio GNP Seguros","2025-12-12T21:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio GNP Seguros","2025-12-15T21:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio GNP Seguros","2025-12-16T21:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio GNP Seguros","2025-12-19T21:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio GNP Seguros","2025-12-20T21:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio GNP Seguros","2025-12-21T20:00:00","Estadio GNP Seguros","Mexico City","Mexico",19.4051,-99.0957
"Bad Bunny at Estadio Nacional","2026-01-09T21:00:00","Estadio Nacional","Ñuñoa","Chile",-33.4643,-70.6115
"Bad Bunny at Estadio Nacional","2026-01-10T21:00:00","Estadio Nacional","Ñuñoa","Chile",-33.4643,-70.6115
"Bad Bunny at Estadio Nacional","2026-01-11T21:00:00","Estadio Nacional","Ñuñoa","Chile",-33.4643,-70.6115
"Bad Bunny at Estadio Nacional","2026-01-16T19:00:00","Estadio Nacional","Lima","Peru",-12.0673,-77.0337
"Bad Bunny at Estadio Nacional","2026-01-17T19:00:00","Estadio Nacional","Lima","Peru",-12.0673,-77.0337
"Bad Bunny at Estadio Atanasio Girardot","2026-01-23T19:00:00","Estadio Atanasio Girardot","Medellín","Colombia",6.2568,-75.5902
"Bad Bunny at Estadio Atanasio Girardot","2026-01-24T20:00:00","Estadio Atanasio Girardot","Medellín","Colombia",6.2568,-75.5902
"Bad Bunny at Estadio Atanasio Girardot","2026-01-25T19:00:00","Estadio Atanasio Girardot","Medellín","Colombia",6.2568,-75.5902
"Bad Bunny at Estadio River Plate","2026-02-13T21:00:00","Estadio River Plate","Buenos Aires","Argentina",-34.5455,-58.4497
"Bad Bunny at Estadio River Plate","2026-02-14T21:00:00","Estadio River Plate","Buenos Aires","Argentina",-34.5455,-58.4497
"Bad Bunny at Estadio River Plate","2026-02-15T21:00:00","Estadio River Plate","Buenos Aires","Argentina",-34.5455,-58.4497
"Bad Bunny at Allianz Parque","2026-02-20T21:00:00","Allianz Parque","São Paulo","Brazil",-23.5283,-46.6796
"Bad Bunny at Allianz Parque","2026-02-21T21:00:00","Allianz Parque","São Paulo","Brazil",-23.5283,-46.6796
"Bad Bunny at Engie Stadium","2026-02-28T17:00:00","Engie Stadium","Sydney Olympic Park","Australia",-33.8431,151.0677
"Bad Bunny at Engie Stadium","2026-03-01T17:00:00","Engie Stadium","Sydney Olympic Park","Australia",-33.8431,151.0677
"Bad Bunny at Estadi Olímpico Lluis Companys","2026-05-22T20:00:00","Estadi Olímpico Lluis Companys","Barcelona","Spain",41.3647,2.1535
"Bad Bunny at Estadi Olímpico Lluis Companys","2026-05-22T20:00:00","Estadi Olímpico Lluis Companys","Barcelona","Spain",41.3647,2.1535
"Bad Bunny at Estadi Olímpico Lluis Companys","2026-05-23T20:00:00","Estadi Olímpico Lluis Companys","Barcelona","Spain",41.3647,2.1535
"Bad Bunny at Estádio da Luz","2026-05-26T20:00:00","Estádio da Luz","Lisboa","Portugal",38.7527,-9.1847
"Bad Bunny at Estádio da Luz","2026-05-27T20:00:00","Estádio da Luz","Lisboa","Portugal",38.7527,-9.1847
"Bad Bunny at Riyadh Air Metropolitano","2026-05-30T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-05-31T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-02T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-03T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-06T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-07T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-10T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-11T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-14T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
"Bad Bunny at Riyadh Air Metropolitano","2026-06-15T20:00:00","Riyadh Air Metropolitano","Madrid","Spain",40.4362,-3.5995
